Codigo,Funcao,Valor
1,LEGISLATIVA,11186000.0
4,ADMINISTRAÇÃO,28399773.0
6,SEGURANÇA PÚBLICA,12176000.0
8,ASSISTÊNCIA SOCIAL,12520000.0
9,PREVIDÊNCIA SOCIAL,38554000.0
10,SAÚDE,122356595.0
11,TRABALHO,1892000.0
12,EDUCAÇÃO,130603000.0
13,CULTURA,5686000.0
14,DIREITOS DA CIDADANIA,629500.0
15,URBANISMO,76833432.0
16,HABITAÇÃO,10000.0
17,SANEAMENTO,2603000.0
18,GESTÃO AMBIENTAL,2884200.0
20,AGRICULTURA,12000.0
23,COMÉRCIO E SERVIÇOS,13441000.0
27,DESPORTO E LAZER,10000.0
28,RESERVA DE CONTINGÊNCIA,1470000.0
99,RESERVA DE CONTINGÊNCIA,1470000.0
