Codigo,Especificacao,Valor
01.00.00,Poder Legislativo,12498000.00
01.01.00,Câmara Municipal,12498000.00
02.00.00,Poder Executivo,524671400.00
02.01.00,Chefia de Gabinete,11849000.00
02.02.00,Secretaria de Assuntos Jurídicos,4565000.00
02.03.00,Secretaria de Empregos, Indústria e Comércio,4195000.00
02.04.00,Secretaria Municipal de Administração,12702000.00
02.05.00,Secretaria Municipal da Fazenda,3295000.00
02.06.00,Secretaria Municipal de Planejamento,5523000.00
02.07.00,Secretaria Mun. Obras, Serviços e Infraestrutura Urbana,74540000.00
02.08.00,Fundo Mun. Con. Serv. Prot. Defesa do Meio Ambiente,12000.00
02.09.00,Fundo Municipal de Desenvolvimento Agropecuário,12000.00
02.10.00,Secretaria Municipal de Saúde / Fundo Municipal de Saúde,138766000.00
02.11.00,Secretaria Municipal de Educação,83333000.00
02.12.00,Fundo de Manutenção e Desenv. da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,74031000.00
02.13.00,Secretaria Municipal de Assistência e Desenv. Social,7329000.00
02.14.00,Fundo Municipal de Assistência Social,6431179.00
02.15.00,Fundo Municipal dos Direitos da Criança e do Adolescente,480000.00
02.17.00,Fundo Municipal de Turismo FUNTUR,115000.00
02.18.00,Fundo de Assistência à Cultura,11000.00
02.19.00,Fundo Municipal de Esportes - FUNMEL,11000.00
02.20.00,Secretaria Mun. de Defesa Social / Fundo Mun. de Trânsito,18270000.00
02.21.00,Fundo Municipal de Habitação,11000.00
02.22.00,Fundo de Desenvolvimento da Cidade,65000.00
02.23.00,Fundo Municipal do Idoso,12000.00
02.24.00,Fundo do Bem Estar Animal,11000.00
02.25.00,Secretaria Municipal de Meio Ambiente e Agricultura,2824000.00
02.26.00,Secretaria Municipal de Governo,109000.00
02.27.00,Fundo Mun. Saneam. Ambiental e Infraestrutura,3060000.00
02.28.00,Secretaria Municipal de Finanças,25197000.00
02.29.00,Secretaria Municipal de Turismo,16954000.00
02.30.00,Secretaria Municipal de Cultura e Esportes,6228000.00
02.31.00,Fundo Municipal de Interesses Difusos,1155000.00
02.32.00,Fundo de Prev. Comb. e Manut. Bombeiros,11000.00
02.33.00,Fundo Munic. de Economia Solidária,11000.00
02.99.00,Reserva de Contingência,1555000.00
03.00.00,AUTARQUIA (PERUIBEPREV),57162600.00
03.01.00,PERUIBE PREV,57162600.00
TOTAL,TOTAL,594332000.00
